Format,format_family,CTR avg,Viewability,Metric mapping,Indicative cost,Creative complexity,primary_objective,secondary_objective,best_for_brief,best_for_advertiser_type,video_asset_needed,strong_mobile_fit,premium_impact,storytelling_strength,Source page
Standard display - Mobile Banner,Standard display,0.08%,72.49%,Exact,Low,Low,Reach,Awareness,Mobile-heavy campaigns needing efficient reach,Performance-led or budget-conscious advertisers,No,Yes,Low,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Double Height Mobile Banner,Standard display,0.04%,74.55%,Exact,Low,Low,Reach,Awareness,Mobile-heavy campaigns needing efficient reach,Performance-led or budget-conscious advertisers,No,Yes,Medium,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - MPU,Standard display,0.05%,39.89%,Exact,Low,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Low,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Leaderboard,Standard display,0.07%,63.47%,Exact,Low,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Low,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Billboard,Standard display,0.07%,42.39%,Exact,Medium,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Medium,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - DMPU,Standard display,0.08%,42.61%,Proxy to Double MPU,Medium,Low,Consideration,Awareness,Product-led campaigns needing more space for detail,Performance-led or budget-conscious advertisers,No,No,Medium,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Flix,General formats,0.04%,10.27%,Exact,Medium,Medium,Consideration,Awareness,Video-led interactive campaigns,Brands with strong video assets,Yes,Mixed,Medium,High,https://immediate.co.uk/advertising/digital-advertising-specs/
Playstream,General formats,0.04%,87.44%,Exact,Medium,Medium,Awareness,Video completion,High-viewability video campaigns,Brands with strong video assets,Yes,Mixed,Medium,Medium,https://immediate.co.uk/advertising/digital-advertising-specs/
IM masthead,General formats,1.28%,58.16%,Exact (mapped to Masthead),High,Medium,Awareness,Consideration,"Launches, tentpole moments, and homepage takeovers",Premium or launch-focused advertisers,Optional,Mixed,High,Medium,https://immediate.co.uk/advertising/digital-advertising-specs/
RT sponsored channel,General formats,0.72%,85%,,Low,Low,Association,Awareness,Contextual sponsorships tied to relevant content environments,Advertisers with a strong fit for Radio Times audiences,No,Mixed,Medium,Low,https://immediate.co.uk/advertising/digital-advertising-specs/
Fixed wallpaper skin,General formats,2.05%,61.60%,Proxy to Takeover Roadblock Billboard + MPU + Skin,High,Medium,Awareness,Consideration,Big brand moments needing page dominance,Premium advertisers or launches,No,No,High,Medium,https://immediate.co.uk/advertising/digital-advertising-specs/
