Format,format_family,CTR avg,Viewability,Metric mapping,Indicative cost,Creative complexity,primary_objective,secondary_objective,best_for_brief,best_for_advertiser_type,video_asset_needed,strong_mobile_fit,premium_impact,storytelling_strength,When to use this,avoid_when,Source page
Standard display - Mobile Banner,Standard display,0.08%,72.49%,Exact,Low,Low,Reach,Awareness,Mobile-heavy campaigns needing efficient reach,Performance-led or budget-conscious advertisers,No,Yes,Low,Low,"Use for efficient reach, simple messaging, and campaigns where broad coverage matters more than standout impact. Good for lower-budget activity or as a supporting format.","Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Double Height Mobile Banner,Standard display,0.04%,74.55%,Exact,Low,Low,Reach,Awareness,Mobile-heavy campaigns needing efficient reach,Performance-led or budget-conscious advertisers,No,Yes,Medium,Low,"Use when mobile is central and you want a little more visual space than a standard mobile banner, but still want a relatively simple asset.","Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - MPU,Standard display,0.05%,39.89%,Exact,Low,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Low,Low,"Use for always-on display, retargeting support, or cost-efficient scaled presence. Best when the campaign needs standard creative and wide compatibility.","Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Leaderboard,Standard display,0.07%,63.47%,Exact,Low,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Low,Low,Use when you want a familiar desktop format with decent visibility and simple production. A sensible default for straightforward awareness campaigns.,"Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - Billboard,Standard display,0.07%,42.39%,Exact,Medium,Low,Reach,Awareness,"Efficient reach, simple messaging, and supporting display plans",Performance-led or budget-conscious advertisers,No,No,Medium,Low,Use when you want a larger desktop canvas than standard units but without committing to a full high-impact execution.,"Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Standard display - DMPU,Standard display,0.08%,42.61%,Proxy to Double MPU,Medium,Low,Consideration,Awareness,Product-led campaigns needing more space for detail,Performance-led or budget-conscious advertisers,No,No,Medium,Low,"Use when you need more space for product detail, richer copy, or optional video within a familiar display format.","Avoid when the brief needs premium impact, storytelling, or interaction.",https://immediate.co.uk/advertising/digital-advertising-specs/
Flix,General formats,0.04%,10.27%,Exact,Medium,Medium,Consideration,Awareness,Video-led interactive campaigns,Brands with strong video assets,Yes,Mixed,Medium,High,Use when the brief is video-led and the goal is interaction or expansion rather than raw CTR. Better for brands with strong video assets and a more attention-grabbing message.,Avoid when there is no video asset or the brief mainly needs efficient scale.,https://immediate.co.uk/advertising/digital-advertising-specs/
Playstream,General formats,0.04%,87.44%,Exact,Medium,Medium,Awareness,Video completion,High-viewability video campaigns,Brands with strong video assets,Yes,Mixed,Medium,Medium,Use when viewability is a priority and the advertiser has a clear video asset. Strong for video completion and high-attention environments around editorial content.,Avoid when the advertiser has no video asset or wants low-cost static display.,https://immediate.co.uk/advertising/digital-advertising-specs/
IM masthead,General formats,1.28%,58.16%,Exact (mapped to Masthead),High,Medium,Awareness,Consideration,"Launches, tentpole moments, and homepage takeovers",Premium or launch-focused advertisers,Optional,Mixed,High,Medium,"Use for premium homepage-style impact, launches, major brand moments, or when the advertiser wants to dominate the page with a high-visibility format.",Avoid when the campaign is lower-budget or does not need homepage-scale impact.,https://immediate.co.uk/advertising/digital-advertising-specs/
RT sponsored channel,General formats,,,No benchmark in screenshot,Medium,Low,Association,Awareness,Contextual sponsorships tied to relevant content environments,Advertisers with a strong fit for Radio Times audiences,No,Mixed,Medium,Low,Use when the advertiser is a strong fit for Radio Times and wants contextual association within the channel guide. Better for relevance and sponsorship feel than pure performance.,Avoid when the brand has weak contextual fit or needs clear benchmark-led optimisation.,https://immediate.co.uk/advertising/digital-advertising-specs/
